Type	sampletype	dataset	Freq	Group
Normal	ACC	GTEX	127	ACC GTEX
Normal	BLCA	GTEX	9	BLCA GTEX
Normal	BLCA	TCGA	19	BLCA TCGA
Normal	BRCA	GTEX	179	BRCA GTEX
Normal	BRCA	TCGA	113	BRCA TCGA
Normal	CESC	GTEX	10	CESC GTEX
Normal	CESC	TCGA	3	CESC TCGA
Normal	COAD	GTEX	304	COAD GTEX
Normal	COAD	TCGA	41	COAD TCGA
Normal	ESCA	GTEX	271	ESCA GTEX
Normal	ESCA	TCGA	13	ESCA TCGA
Normal	GBM	GTEX	206	GBM GTEX
Normal	GBM	TCGA	5	GBM TCGA
Normal	HNSC	TCGA	44	HNSC TCGA
Normal	KICH	GTEX	27	KICH GTEX
Normal	KICH	TCGA	25	KICH TCGA
Normal	KIRC	GTEX	27	KIRC GTEX
Normal	KIRC	TCGA	72	KIRC TCGA
Normal	KIRP	GTEX	27	KIRP GTEX
Normal	KIRP	TCGA	32	KIRP TCGA
Normal	LAML	K	70	LAML K
Normal	LGG	GTEX	206	LGG GTEX
Normal	LIHC	GTEX	110	LIHC GTEX
Normal	LIHC	TCGA	50	LIHC TCGA
Normal	LUAD	GTEX	287	LUAD GTEX
Normal	LUAD	TCGA	59	LUAD TCGA
Normal	LUSC	GTEX	287	LUSC GTEX
Normal	LUSC	TCGA	50	LUSC TCGA
Normal	OV	GTEX	88	OV GTEX
Normal	PAAD	GTEX	165	PAAD GTEX
Normal	PAAD	TCGA	4	PAAD TCGA
Normal	PCPG	TCGA	3	PCPG TCGA
Normal	PRAD	GTEX	100	PRAD GTEX
Normal	PRAD	TCGA	52	PRAD TCGA
Normal	READ	GTEX	304	READ GTEX
Normal	READ	TCGA	10	READ TCGA
Normal	SARC	TCGA	2	SARC TCGA
Normal	SKCM	GTEX	557	SKCM GTEX
Normal	SKCM	TCGA	1	SKCM TCGA
Normal	STAD	GTEX	173	STAD GTEX
Normal	STAD	TCGA	36	STAD TCGA
Normal	TGCT	GTEX	165	TGCT GTEX
Normal	THCA	GTEX	278	THCA GTEX
Normal	THCA	TCGA	59	THCA TCGA
Normal	UCEC	GTEX	78	UCEC GTEX
Normal	UCEC	TCGA	23	UCEC TCGA
Normal	UCS	GTEX	78	UCS GTEX
Tumor	ACC	TCGA	77	ACC TCGA
Tumor	BLCA	TCGA	407	BLCA TCGA
Tumor	BRCA	TCGA	1099	BRCA TCGA
Tumor	CESC	TCGA	306	CESC TCGA
Tumor	COAD	TCGA	290	COAD TCGA
Tumor	ESCA	TCGA	182	ESCA TCGA
Tumor	GBM	TCGA	166	GBM TCGA
Tumor	HNSC	TCGA	520	HNSC TCGA
Tumor	KICH	TCGA	66	KICH TCGA
Tumor	KIRC	TCGA	531	KIRC TCGA
Tumor	KIRP	TCGA	289	KIRP TCGA
Tumor	LAML	TCGA	173	LAML TCGA
Tumor	LGG	TCGA	523	LGG TCGA
Tumor	LIHC	TCGA	371	LIHC TCGA
Tumor	LUAD	TCGA	515	LUAD TCGA
Tumor	LUSC	TCGA	498	LUSC TCGA
Tumor	OV	TCGA	426	OV TCGA
Tumor	PAAD	TCGA	179	PAAD TCGA
Tumor	PCPG	TCGA	182	PCPG TCGA
Tumor	PRAD	TCGA	496	PRAD TCGA
Tumor	READ	TCGA	93	READ TCGA
Tumor	SARC	TCGA	262	SARC TCGA
Tumor	SKCM	TCGA	469	SKCM TCGA
Tumor	STAD	TCGA	414	STAD TCGA
Tumor	TGCT	TCGA	154	TGCT TCGA
Tumor	THCA	TCGA	512	THCA TCGA
Tumor	UCEC	TCGA	181	UCEC TCGA
Tumor	UCS	TCGA	57	UCS TCGA
